Date,Bloomberg Barclays Euro Government Inflation-Linked Bond All Maturities
21-06-2018,214.9885
20-06-2018,215.8954
19-06-2018,215.8669
18-06-2018,215.6817
15-06-2018,215.4559
14-06-2018,214.5496
13-06-2018,213.511
12-06-2018,212.9894
11-06-2018,212.9349
08-06-2018,211.7301
07-06-2018,212.041
06-06-2018,212.1981
05-06-2018,214.1456
04-06-2018,214.8837
01-06-2018,214.1144
31-05-2018,213.3881
30-05-2018,211.5681
29-05-2018,211.4872
28-05-2018,213.8948
25-05-2018,214.9525
24-05-2018,215.5672
23-05-2018,214.8952
22-05-2018,215.0348
21-05-2018,214.6874
18-05-2018,215.6143
17-05-2018,215.9008
16-05-2018,216.15
15-05-2018,216.9649
14-05-2018,217.1568
11-05-2018,217.4814
10-05-2018,217.2659
09-05-2018,217.2456
08-05-2018,216.9865
07-05-2018,217.8286
04-05-2018,217.2966
03-05-2018,217.7294
02-05-2018,217.2808
01-05-2018,217.2681
30-04-2018,217.2681
27-04-2018,217.484
26-04-2018,217.279
25-04-2018,216.6538
24-04-2018,216.6451
23-04-2018,216.5712
20-04-2018,216.8474
19-04-2018,216.9683
18-04-2018,217.5519
17-04-2018,217.4624
16-04-2018,216.9681
13-04-2018,217.0871
12-04-2018,216.8705
11-04-2018,217.2045
10-04-2018,216.71
09-04-2018,216.9593
06-04-2018,217.0437
05-04-2018,216.8715
04-04-2018,217.413
03-04-2018,217.1142
